角色类型,物种,Seed,DEBUGGING,PATIENCE,CHAOS,WISDOM,SNARK,描述
Legendary,duck,92lusxvutm,53,70,89,70,100,A legendary duck of few words.
Legendary,chonk,tgpngjnab0,52,64,63,100,78,A legendary chonk of few words.
Legendary,capybara,8jxbagjk33,49,59,52,88,100,A legendary capybara of few words.
Legendary,blob,oyexg3ny3c,100,50,71,72,40,A legendary blob of few words.
Legendary,robot,qwifwqnm3q,47,86,87,100,53,A legendary robot of few words.
Legendary,penguin,gkwovge1gk,66,41,100,67,65,A legendary penguin of few words.
Legendary,octopus,jmibwruxqn,89,42,85,84,100,A legendary octopus of few words.
Legendary,robot,svg1msirnl,84,45,75,100,82,A legendary robot of few words.
Legendary,mushroom,bjztpz1ro9,65,100,78,46,86,A legendary mushroom of few words.
Legendary,cat,3xcxkassii,46,56,100,73,70,A legendary cat of few words.
Legendary,mushroom,m402rv2dvm,100,56,69,47,86,A legendary mushroom of few words.
Legendary,capybara,jr73s2om1g,100,65,67,48,83,A legendary capybara of few words.
Legendary,penguin,ifwvsfqu7g,58,82,51,100,49,A legendary penguin of few words.
Legendary,blob,4mvkdcla63,100,49,52,53,73,A legendary blob of few words.
Legendary,cactus,p1y03qlr7t,80,48,85,63,100,A legendary cactus of few words.
Legendary,octopus,n7v8xhwaxy,78,77,100,47,57,A legendary octopus of few words.
Legendary,rabbit,0ql1t7btd8,77,84,100,51,47,A legendary rabbit of few words.
Legendary,dragon,ydvanw4c3h,73,57,62,100,45,A legendary dragon of few words.
Legendary,cat,bx7ejihjyo,84,100,55,44,67,A legendary cat of few words.
Legendary,owl,a13ljr588m,100,55,60,62,44,A legendary owl of few words.
Legendary,duck,73lg0vorep,80,85,100,52,53,A legendary duck of few words.
Legendary,rabbit,uhqr52yk85,68,56,100,49,53,A legendary rabbit of few words.
Legendary,dragon,fm47o7gf39,72,79,70,100,47,A legendary dragon of few words.
Legendary,ghost,xovxsxseh6,45,100,64,87,80,A legendary ghost of few words.
Legendary,cactus,c50l6rq9ku,100,42,60,59,70,A legendary cactus of few words.
Legendary,capybara,ydj4l9sics,45,73,58,100,84,A legendary capybara of few words.
Legendary,ghost,1iqptlr8pn,56,88,78,40,100,A legendary ghost of few words.
Legendary,axolotl,vk8wcqcha9,100,55,83,76,49,A legendary axolotl of few words.
Legendary,blob,m241066mzx,41,79,100,89,60,A legendary blob of few words.
Legendary,snail,w6pl9ixfuo,100,50,76,51,58,A legendary snail of few words.
Legendary,octopus,jq8a82zqup,46,72,78,63,100,A legendary octopus of few words.
Legendary,rabbit,yr98mdqno8,64,67,100,76,42,A legendary rabbit of few words.
Legendary,mushroom,50n3hqfn9t,100,87,64,88,47,A legendary mushroom of few words.
Legendary,rabbit,xds9zvq3g0,74,100,48,66,86,A legendary rabbit of few words.
Legendary,owl,s6lwgxy5ei,59,46,100,88,73,A legendary owl of few words.
Legendary,mushroom,puovah3fys,86,74,100,69,50,A legendary mushroom of few words.
Legendary,rabbit,ys5ht5two6,42,100,53,54,59,A legendary rabbit of few words.
Legendary,capybara,rqr9xfj3a3,68,100,60,58,48,A legendary capybara of few words.
Legendary,axolotl,ut5kaziduh,100,72,58,87,46,A legendary axolotl of few words.
Legendary,snail,rr2tfuo2bm,88,86,100,51,53,A legendary snail of few words.
Legendary,blob,izwxrrssim,100,40,61,50,89,A legendary blob of few words.
Legendary,dragon,wkkdzrd6q4,86,41,82,100,80,A legendary dragon of few words.
Legendary,ghost,2k5m6c63fd,54,79,100,73,53,A legendary ghost of few words.
Legendary,goose,d2v2oq2eu9,75,77,100,59,46,A legendary goose of few words.
Legendary,turtle,axrw4hw4fi,100,58,55,58,48,A legendary turtle of few words.
Legendary,owl,6it55vnxe9,89,100,45,74,50,A legendary owl of few words.
Legendary,chonk,477whb737n,43,72,84,88,100,A legendary chonk of few words.
Legendary,robot,82lfymycox,100,69,59,52,76,A legendary robot of few words.
Legendary,blob,2kny9wweau,100,74,46,64,66,A legendary blob of few words.
Legendary,dragon,7pma7eus82,50,58,100,80,51,A legendary dragon of few words.
Legendary,cat,o59uuzppdi,70,49,50,69,100,A legendary cat of few words.
Legendary,cactus,ftfsgcxh6x,100,72,86,55,53,A legendary cactus of few words.
Legendary,cat,42o4w3supw,100,48,85,67,54,A legendary cat of few words.
Legendary,ghost,hdtkofcr2m,45,87,64,100,55,A legendary ghost of few words.
Legendary,penguin,xvwh3o67bi,46,87,100,76,68,A legendary penguin of few words.
Legendary,ghost,y8vxugvr3g,82,41,67,100,79,A legendary ghost of few words.
Legendary,penguin,ay5lq0a8cv,46,78,87,71,100,A legendary penguin of few words.
Legendary,cactus,vomrjv3uxx,100,75,53,89,52,A legendary cactus of few words.
Legendary,capybara,v7wqb93y7r,85,41,100,84,56,A legendary capybara of few words.
Legendary,rabbit,hg34axg5sc,68,50,45,56,100,A legendary rabbit of few words.
Legendary,capybara,fnnb2sehm1,68,89,78,41,100,A legendary capybara of few words.
Legendary,dragon,fax15wuydn,85,100,75,42,58,A legendary dragon of few words.
Legendary,blob,xwesb08aqi,51,72,62,100,77,A legendary blob of few words.
Legendary,chonk,vvog7shs1n,41,100,59,64,76,A legendary chonk of few words.
Legendary,dragon,dgf4pyb77z,69,42,100,72,88,A legendary dragon of few words.
Legendary,cactus,9zpg44f81y,62,66,100,48,68,A legendary cactus of few words.
Legendary,blob,f2381t95tp,100,63,40,69,83,A legendary blob of few words.
Legendary,cactus,m13c24bidr,61,56,100,79,52,A legendary cactus of few words.
Legendary,duck,e9qmumx4u2,69,42,76,83,100,A legendary duck of few words.
Legendary,capybara,epgw2evu00,83,100,51,55,70,A legendary capybara of few words.
Legendary,mushroom,jrhuoj64at,66,52,100,64,79,A legendary mushroom of few words.
Legendary,penguin,fevh7b3b7m,50,68,74,100,56,A legendary penguin of few words.
Legendary,robot,ckqnbdald6,78,41,74,57,100,A legendary robot of few words.
Legendary,snail,woa973bv8x,100,43,78,76,52,A legendary snail of few words.
Legendary,chonk,nbo4gfjycw,100,83,44,81,67,A legendary chonk of few words.
Legendary,axolotl,5soesu7zbc,62,100,54,58,60,A legendary axolotl of few words.
Legendary,capybara,bcttsgy3bw,100,82,59,88,51,A legendary capybara of few words.
Legendary,blob,vrb7h293jd,41,82,100,62,78,A legendary blob of few words.
Legendary,owl,4jv1fi0kml,100,50,60,78,54,A legendary owl of few words.
Legendary,rabbit,n5ak59st62,77,49,84,61,100,A legendary rabbit of few words.
Legendary,penguin,u688ekrh0o,41,100,76,68,51,A legendary penguin of few words.
Legendary,chonk,l1ts9qeiy8,43,100,51,53,85,A legendary chonk of few words.
Legendary,turtle,79wjxqy9ek,100,50,89,63,46,A legendary turtle of few words.
Legendary,cactus,k83c12jwto,82,49,100,75,88,A legendary cactus of few words.
Legendary,turtle,6upx113s7z,70,78,45,76,100,A legendary turtle of few words.
Legendary,cactus,opdss2diz8,82,77,40,100,66,A legendary cactus of few words.
Legendary,chonk,szbh4wbvun,100,80,72,67,42,A legendary chonk of few words.
Legendary,penguin,foo5g7zoj9,72,100,53,82,64,A legendary penguin of few words.
Legendary,turtle,16g96420aa,43,62,77,100,50,A legendary turtle of few words.
Legendary,owl,6sbeyfh2q6,84,53,100,63,58,A legendary owl of few words.
Legendary,blob,9tnw3dzveq,47,75,89,100,67,A legendary blob of few words.
Legendary,owl,o3z0n0n0vp,48,88,100,83,75,A legendary owl of few words.
Legendary,penguin,7k1ipgvd0v,81,58,62,100,49,A legendary penguin of few words.
Legendary,duck,ebdg999eg4,80,81,58,100,46,A legendary duck of few words.
Legendary,mushroom,on8v9wai2k,73,100,51,86,70,A legendary mushroom of few words.
Legendary,axolotl,tk806ysrif,54,70,81,100,51,A legendary axolotl of few words.
Legendary,owl,w8rthpcens,100,50,50,50,86,A legendary owl of few words.
